DATE,RAINFALL
7/1/1965,1393.7
8/1/1965,608.8
9/1/1965,147.5
10/1/1965,8.9
11/1/1965,2.2
12/1/1965,83.7
1/1/1966,0
2/1/1966,0
3/1/1966,0
4/1/1966,0.2
5/1/1966,64.7
6/1/1966,370
7/1/1966,1168.8
8/1/1966,224.1
9/1/1966,443.5
10/1/1966,43.9
11/1/1966,111.3
12/1/1966,1.1
1/1/1967,0
2/1/1967,0
3/1/1967,7.7
4/1/1967,0.8
5/1/1967,7.5
6/1/1967,768.9
7/1/1967,1109.2
8/1/1967,416.9
9/1/1967,317.1
10/1/1967,109.6
11/1/1967,0.7
12/1/1967,14
1/1/1968,0
2/1/1968,0.3
3/1/1968,0.1
4/1/1968,6
5/1/1968,1.5
6/1/1968,556.9
7/1/1968,1134.7
8/1/1968,318.7
9/1/1968,202.1
10/1/1968,130.4
11/1/1968,8.6
12/1/1968,0
1/1/1969,0
2/1/1969,0
3/1/1969,0
4/1/1969,1.1
5/1/1969,2.4
6/1/1969,666.5
7/1/1969,1282.2
8/1/1969,527.1
9/1/1969,586
10/1/1969,37.9
11/1/1969,23.2
12/1/1969,0.9
1/1/1970,0
2/1/1970,0
3/1/1970,0
4/1/1970,1.5
5/1/1970,74.5
6/1/1970,963.3
7/1/1970,993.8
8/1/1970,1164.8
9/1/1970,312.7
10/1/1970,85.8
11/1/1970,0
12/1/1970,0.2
1/1/1971,0
2/1/1971,0
3/1/1971,0
4/1/1971,0.3
5/1/1971,85.1
6/1/1971,1011.9
7/1/1971,650.8
8/1/1971,602
9/1/1971,362.6
10/1/1971,40.4
11/1/1971,0.9
12/1/1971,0
1/1/1972,0
2/1/1972,0.1
3/1/1972,0
4/1/1972,0.6
5/1/1972,10.7
6/1/1972,662
7/1/1972,731.6
8/1/1972,293.9
9/1/1972,138.8
10/1/1972,8.5
11/1/1972,26.8
12/1/1972,0
1/1/1973,0
2/1/1973,0.4
3/1/1973,0
4/1/1973,0
5/1/1973,3.1
6/1/1973,455.9
7/1/1973,922.1
8/1/1973,910.6
9/1/1973,437.4
10/1/1973,103.6
11/1/1973,2.9
12/1/1973,0.2
1/1/1974,0.7
2/1/1974,0
3/1/1974,0
4/1/1974,6.8
5/1/1974,73.9
6/1/1974,508.2
7/1/1974,1133
8/1/1974,774.4
9/1/1974,351.1
10/1/1974,238.6
11/1/1974,0
12/1/1974,0
1/1/1975,0
2/1/1975,0.1
3/1/1975,0
4/1/1975,1
5/1/1975,13.6
6/1/1975,856.9
7/1/1975,1027
8/1/1975,848
9/1/1975,556
10/1/1975,192.7
11/1/1975,20.2
12/1/1975,0
1/1/1976,0
2/1/1976,0
3/1/1976,1.6
4/1/1976,0.4
5/1/1976,4.5
6/1/1976,635.1
7/1/1976,1279.2
